Coin,vol,pnl
@1,3661.69,496.746238
@10,37.31,-0.063484
@100,42.67,27.627142
@103,40.0,38.558036
@107,55760858.63,2783912.919016
@109,5670.66,5414.08414
@11,0.61,0.0
@112,759.63,-52.114723999999995
@113,42.28,16.92622
@114,1.32,1.309077
@116,11.85,1.722949
@117,14.77,4.631689
@12,8.91,0.0
@123,400024.33,0.0
@124,1173.08,-128.603876
@125,5731.41,370.264567
@13,52.86000000000001,-0.12379
@135,15.56,-5981.36399
@138,109.53999999999999,50.950684
@14,849.28,0.0
@142,2486351.27,7450.359672
@147,612.5600000000001,-350.632694
@15,1.11,0.0
@151,574271.34,11583.842769
@152,59831.5,0.599998
@153,117912.92,35.217067
@16,35.9,-0.060429
@17,0.0,0.0
@18,0.46,0.0
@19,0.81,0.0
@2,999.88,-0.907946
@20,1087.94,4.738087999999999
@21,0.94,0.0
@23,5218.84,0.0
@24,2.71,-0.002936
@25,0.65,0.0
@26,24.62,-0.25801799999999997
@28,1.74,0.0
@29,23.73,-0.078374
@3,575.81,0.462514
@30,0.69,0.0
@31,33.61,33.212273
@32,0.01,0.0
@33,15.18,13.566929
@34,0.81,0.0
@35,68.30000000000001,67.028127
@36,16.1,15.663073
@37,1850.98,298.859201
@38,538.6700000000001,33.271993
@39,12.57,12.238556
@4,87457.2,-95.963977
@40,413.94,12.149683
@41,38.239999999999995,36.73844
@42,0.74,0.0
@44,0.77,0.0
@45,0.54,0.0
@46,0.5700000000000001,0.0
@47,51.14,50.313458
@48,0.68,0.0
@49,959.28,-40.712216999999995
@51,18319.94,-330.876576
@53,69.77000000000001,67.86470700000001
@59,24622.53,2557.105607
@6,0.03,0.0
@61,0.62,0.0
@63,59.95,-20.663546
@68,10.09,0.0
@7,0.03,0.0
@74,383.36,371.633249
@78,6550.37,0.0
@8,44809.65,162.720529
@83,1426.41,-1087.633355
@85,49034.5,26506.140009
@86,10.17,0.0
@9,242.32,-58.564889
@93,16.33,15.954796
@95,120.78,-29.438061
AAVE,1100411.81,7485.007984
ACE,72261.42,2760.71491
ADA,1094836.4,-28113.46197
AI,16491.09,94.826156
AI16Z,631600.28,8024.352668
AIXBT,1273650.18,73712.168895
ALGO,3867.61,18.36352
