Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,value,classification,sentiment_regime,size_segment,freq_segment,is_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.90005600004,6842632.0200000005,462.0,0.025974025974025976,14810.891818181819,0.3008658008658009,74,Greed,Greed,High,Medium,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,54854631.95,3356.0,0.40554231227651966,16345.241939809297,0.4684147794994041,44,Fear,Fear,High,High,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093,797679.97,320.0,0.53125,2492.74990625,0.453125,74,Greed,Greed,Medium,Medium,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727054999992,5982611.5,3533.0,0.43504104160769885,1693.3516841211435,0.4324936314746674,44,Fear,Fear,Low,High,1
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,30351.000000000004,5.0,0.0,6070.200000000001,0.4,50,Neutral,Neutral,High,Low,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,159708.3,5.0,0.8,31941.659999999996,0.6,74,Greed,Greed,High,Low,1
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,12310719.5,1136.0,0.43045774647887325,10836.90096830986,0.4454225352112676,44,Fear,Fear,High,Medium,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,3129795.2199999997,6472.0,0.4437577255871446,483.5901143386897,0.476823238566131,74,Greed,Greed,Low,High,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669000002,3622817.6999999997,6794.0,0.4327347659699735,533.2378127759788,0.5307624374448042,44,Fear,Fear,Low,High,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,2244613.0,763.0,0.4744429882044561,2941.8256880733943,0.399737876802097,74,Greed,Greed,Medium,Medium,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,7919556.5600000005,2471.0,0.5337919870497774,3205.000631323351,0.3528935653581546,44,Fear,Fear,Medium,High,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,477.0,3.0,0.0,159.0,1.0,59,Greed,Greed,Low,Low,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,46133.87,2.0,0.0,23066.935,1.0,69,Greed,Greed,High,Low,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,82312.05,27.0,0.3333333333333333,3048.5944444444444,0.14814814814814814,84,Extreme Greed,Extreme Greed,Medium,Low,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.75479800000002,61379.82000000001,80.0,0.1,767.2477500000001,0.4375,50,Neutral,Neutral,Low,Low,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,402974.53,156.0,0.46794871794871795,2583.170064102564,0.41025641025641024,74,Greed,Greed,Medium,Low,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,575346.5800000001,349.0,0.2636103151862464,1648.557535816619,0.18911174785100288,44,Fear,Fear,Low,Medium,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,655891.22,144.0,0.5277777777777778,4554.800138888889,0.4097222222222222,74,Greed,Greed,Medium,Low,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526000003,16537484.2,3445.0,0.3193033381712627,4800.430827285922,0.4612481857764877,44,Fear,Fear,High,High,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,532207.47,191.0,0.41361256544502617,2786.4265445026176,0.5863874345549738,74,Greed,Greed,Medium,Low,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.62895500001,611688.99,141.0,0.5602836879432624,4338.219787234042,0.41134751773049644,44,Fear,Fear,Medium,Low,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,810078.5199999999,125.0,0.216,6480.628159999999,0.144,74,Greed,Greed,High,Low,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.02414199998,1177449.0899999999,258.0,0.2441860465116279,4563.756162790697,0.32170542635658916,44,Fear,Fear,High,Low,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,99995.52,88.0,0.0,1136.3127272727272,1.0,84,Extreme Greed,Extreme Greed,Low,Low,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.44837399997,438228.4199999999,249.0,0.9518072289156626,1759.9534939759033,0.012048192771084338,50,Neutral,Neutral,Low,Low,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.51810499997,289936.94999999995,43.0,0.8837209302325582,6742.719767441859,0.0,74,Greed,Greed,High,Low,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.90586200001,1883941.4700000002,671.0,0.4828614008941878,2807.662399403875,0.3144560357675112,44,Fear,Fear,Medium,Medium,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,1834112.9100000001,3711.0,0.3381837779574239,494.23683912692,0.46833737537052006,74,Greed,Greed,Low,High,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,2508697.1100000003,4629.0,0.36552171095268954,541.9522812702528,0.49038669259019224,44,Fear,Fear,Low,High,1
